BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
38;Rheinau;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;191;Fr./Einw.;Franken pro Einwohner;
39;Thalheim a.d.Th.;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;236;Fr./Einw.;Franken pro Einwohner;
40;Trüllikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;183;Fr./Einw.;Franken pro Einwohner;
41;Truttikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;190;Fr./Einw.;Franken pro Einwohner;
42;Unterstammheim;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;578;Fr./Einw.;Franken pro Einwohner;
43;Volken;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;336;Fr./Einw.;Franken pro Einwohner;
44;Waltalingen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;296;Fr./Einw.;Franken pro Einwohner;
51;Bachenbülach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;92;Fr./Einw.;Franken pro Einwohner;
52;Bassersdorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;133;Fr./Einw.;Franken pro Einwohner;
53;Bülach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;103;Fr./Einw.;Franken pro Einwohner;
54;Dietlikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;220;Fr./Einw.;Franken pro Einwohner;
55;Eglisau;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;166;Fr./Einw.;Franken pro Einwohner;
56;Embrach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;110;Fr./Einw.;Franken pro Einwohner;
57;Freienstein-Teufen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;187;Fr./Einw.;Franken pro Einwohner;
58;Glattfelden;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;214;Fr./Einw.;Franken pro Einwohner;
59;Hochfelden;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;195;Fr./Einw.;Franken pro Einwohner;
60;Höri;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;114;Fr./Einw.;Franken pro Einwohner;
61;Hüntwangen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;124;Fr./Einw.;Franken pro Einwohner;
62;Kloten;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;278;Fr./Einw.;Franken pro Einwohner;
63;Lufingen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;174;Fr./Einw.;Franken pro Einwohner;
64;Nürensdorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;183;Fr./Einw.;Franken pro Einwohner;
65;Oberembrach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;286;Fr./Einw.;Franken pro Einwohner;
66;Opfikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;278;Fr./Einw.;Franken pro Einwohner;
67;Rafz;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;181;Fr./Einw.;Franken pro Einwohner;
68;Rorbas;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;103;Fr./Einw.;Franken pro Einwohner;
69;Wallisellen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;297;Fr./Einw.;Franken pro Einwohner;
70;Wasterkingen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;176;Fr./Einw.;Franken pro Einwohner;
71;Wil;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;243;Fr./Einw.;Franken pro Einwohner;
72;Winkel;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;297;Fr./Einw.;Franken pro Einwohner;
